place_name,menu_name,menu_price
달인수제한방족발 용산본점,미니족발 포장판매,-
바다잔치,A코스,-
바다잔치,B코스,-
바다잔치,C코스,-
바다잔치,활어모듬 대,-
바다잔치,활어모듬 중,-
바다잔치,광어 대,-
바다잔치,광어 중,-
바다잔치,우럭 대,-
바다잔치,우럭 중,-
바다잔치,놀래미,-
바다잔치,농어,-
바다잔치,도다리/멍게/해삼/감성돔/참돔,-
바다잔치,해물볶음,-
바다잔치,낙지,-
달볶이 숙명여대점,홈메뉴(DIY) 5인분,-
달볶이 숙명여대점,튀김세트,-
달볶이 숙명여대점,순대세트,-
달볶이 숙명여대점,김밥세트,-
달볶이 숙명여대점,어묵세트,-
달볶이 숙명여대점,떡볶이,-
달볶이 숙명여대점,순대,-
달볶이 숙명여대점,튀김,-
달볶이 숙명여대점,어묵,-
달볶이 숙명여대점,꼬마김밥,-
달볶이 숙명여대점,어묵튀김 5개,-
달볶이 숙명여대점,오징어튀김 1개,-
남영역찹쌀잉어빵,잉어빵 3마리,-
다이빙룸,레드라구 파스타,-
다이빙룸,치킨 스테이크,-
다이빙룸,비프 큐브 스테이크,-
다이빙룸,머쉬룸 파스타,-
다이빙룸,바질 페스토 파스타,-
다이빙룸,봉골레 파스타,-
다이빙룸,감바스 알 아히요,-
다이빙룸,치즈퐁듀칩스,-
다이빙룸,레드라구 칩스,-
다이빙룸,페퍼로니 칩스,-
다이빙룸,30여가지 보틀 와인,-
다이빙룸,3종 글라스와인,-
다이빙룸,스텔라 생맥주,-
다이빙룸,유자/자몽 하이볼,-
동아냉면 숙대2호점,물냉면小,-
동아냉면 숙대2호점,비빔냉면小,-
동아냉면 숙대2호점,만두,-
동아냉면 숙대2호점,물냉면 대,-
동아냉면 숙대2호점,비빔냉면 대,-
베나레스 숙대점,버터치킨,-
베나레스 숙대점,치킨티카마살라,-
베나레스 숙대점,프라운마크니,-
베나레스 숙대점,팔락 파니르,-
베나레스 숙대점,램 빈달루,-
베나레스 숙대점,탄두리 치킨 비리야니,-
베나레스 숙대점,탄두리 치킨(half),-
베나레스 숙대점,마늘난,-
베나레스 숙대점,버터난,-
베나레스 숙대점,플레인 난,-
베나레스 숙대점,샐러드 크림 프라타,-
베나레스 숙대점,2인세트,-
레이브피자,슈퍼 레이브(S),-
레이브피자,클램 차우더 스프,-
레이브피자,치즈 피자(S),-
레이브피자,바질 마스카포네(S),-
레이브피자,치즈 엑스터시(S),-
레이브피자,애시드쉬림프(S),-
레이브피자,누 레이브(S),-
레이브피자,마가리따(S),-
레이브피자,페퍼로니(S),-
레이브피자,하와이안(S),-
레이브피자,더블 치즈 베이컨(S),-
교촌치킨 숙대점,교촌싱글윙,-
교촌치킨 숙대점,레드싱글윙,-
교촌치킨 숙대점,교촌옥수수통안심 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수오리지날 떡볶이세트,-
교촌치킨 숙대점,교촌오리지날(한마리),-
교촌치킨 숙대점,[기간한정]싱글윙클래식세트,-
교촌치킨 숙대점,[기간한정]싱글윙스페셜세트,-
교촌치킨 숙대점,교촌윙박스,-
교촌치킨 숙대점,레드윙박스,-
교촌치킨 숙대점,허니윙박스,-
교촌치킨 숙대점,후라이드윙박스,-
교촌치킨 숙대점,양념치킨윙박스,-
교촌치킨 숙대점,양념치킨싱글윙,-
교촌치킨 숙대점,후라이드싱글윙,-
교촌치킨 숙대점,허니싱글윙,-
교촌치킨 숙대점,교촌싱글윙,-
교촌치킨 숙대점,레드싱글윙,-
교촌치킨 숙대점,허니오리지날(한마리),-
교촌치킨 숙대점,허니순살,-
교촌치킨 숙대점,교촌후라이드,-
교촌치킨 숙대점,교촌양념치킨,-
교촌치킨 숙대점,교촌후라이드양념반반,-
교촌치킨 숙대점,리얼후라이드,-
교촌치킨 숙대점,살살후라이드,-
교촌치킨 숙대점,교촌옥수수통안심 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수순살 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수오리지날 떡볶이세트,-
교촌치킨 숙대점,교촌옥수수통안심 디핑소스세트,-
교촌치킨 숙대점,교촌옥수수순살 디핑소스세트,-
교촌치킨 숙대점,다담치밥세트(간장맛),-
교촌치킨 숙대점,다담치밥세트(매운맛),-
교촌치킨 숙대점,교촌오리지날(한마리),-
교촌치킨 숙대점,레드오리지날(한마리),-
교촌치킨 숙대점,반반오리지날(한마리),-
교촌치킨 숙대점,허니순살[S],-
교촌치킨 숙대점,New 교촌X노티드 츄러스(5ea),-
교촌치킨 숙대점,다담덮밥(간장맛),-
교촌치킨 숙대점,다담덮밥(매운맛),-
교촌치킨 숙대점,살살후라이드미니,-
교촌치킨 숙대점,달걀듬뿍볶음밥,-
교촌치킨 숙대점,양념치킨디핑소스,-
교촌치킨 숙대점,New 화이트크림소스,-
교촌치킨 숙대점,트리플레드소스,-
교촌치킨 숙대점,허니케찹소스,-
교촌치킨 숙대점,치즈트러플시즈닝,-
교촌치킨 숙대점,사이다(500ml),-
교촌치킨 숙대점,사이다(1.25L),-
교촌치킨 숙대점,사이다(사이즈업)(1.25L),-
교촌치킨 숙대점,펩시(245ml),-
교촌치킨 숙대점,펩시(1.25L),-
츄르츄르라멘,츄라멘,-
츄르츄르라멘,차슈멘(2장),-
츄르츄르라멘,차슈멘(4장),-
츄르츄르라멘,연어스시 10P,-
츄르츄르라멘,신츄멘,-
츄르츄르라멘,신차슈멘(2),-
츄르츄르라멘,신차슈멘(4)장,-
상록수,소고기쌀국수,-
상록수,히레가스(안심),-
상록수,포돈정식(양지 쌀국수+히레가스1줄),-
상록수,감자말이 새우롤4pcs,-
상록수,칠리소스 닭어깨튀김4pcs,-
상록수,새우춘권4pcs,-
상록수,소고기 쌀국수(어린이),-
상록수,미니 히레가스(어린이),-
스튜디오포비피엠,엽기떡볶이,-
스튜디오포비피엠,로제떡볶이,-
스튜디오포비피엠,마라떡볶이,-
스튜디오포비피엠,마라로제떡볶이,-
스튜디오포비피엠,엽기닭볶음탕,-
스튜디오포비피엠,2인엽기떡볶이,-
스튜디오포비피엠,엽기밀키트(오리지널/착한맛),-
스튜디오포비피엠,로제밀키트(오리지널/착한맛),-
스튜디오포비피엠,엽기오돌뼈,-
스튜디오포비피엠,엽기무뼈닭발,-
스튜디오포비피엠,엽기국물닭발,-
스튜디오포비피엠,실속세트,-
스튜디오포비피엠,베스트세트,-
스튜디오포비피엠,스페셜세트,-
스튜디오포비피엠,닭발세트,-
몽소,파니니빵,-
몽소,쌀치즈카스테라,-
몽소,샌드위치,-
몽소,쪽파베이글,-
